# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-25T00:33:06.601362
# Problem,frame_2_example_E1890
# Template,frame_2story
# Response Location,"(1.0, 4.0)"
#
# Material Properties
# E [Pa],1.890000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],9.450000e+05
#
# Geometry
# Elements,60
# Nodes (primary),60
# Nodes (dual),61
# Total Length [m],12.000000
#
# Summary
# Total Sensitivity,4.481869e-05
# Max Sensitivity,1.787627e-04,Element 26
# Min Sensitivity,-1.379103e-04,Element 20
# Beams,20,Sum: 7.204154e-04
# Columns,40,Sum: -6.755967e-04
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,column,0.200000,0.000000,0.100000,-404.455720,27866.086000,-2.254120e+06,2.524139e-06
2,column,0.200000,0.000000,0.300000,-262.138790,17954.027000,-9.412894e+05,1.054046e-06
3,column,0.200000,0.000000,0.500000,-119.821900,8041.471700,-1.927089e+05,2.157934e-07
4,column,0.200000,0.000000,0.700000,22.495008,-1871.517500,-8.419960e+03,9.428582e-09
5,column,0.200000,0.000000,0.900000,164.811920,-11784.395000,-3.884417e+05,4.349730e-07
6,column,0.200000,0.000000,1.100000,307.128810,-21696.725000,-1.332738e+06,1.492386e-06
7,column,0.200000,0.000000,1.300000,449.445710,-31608.785000,-2.841287e+06,3.181643e-06
8,column,0.200000,0.000000,1.500000,591.762630,-41522.160000,-4.914253e+06,5.502928e-06
9,column,0.200000,0.000000,1.700000,734.079530,-51440.340000,-7.552260e+06,8.456941e-06
10,column,0.200000,0.000000,1.900000,876.396480,-61369.328000,-1.075677e+07,1.204532e-05
11,column,0.200000,0.000000,2.100000,-1668.693200,-79631.805000,2.657621e+07,-2.975976e-05
12,column,0.200000,0.000000,2.300000,-1245.229600,-39172.062000,9.755647e+06,-1.092427e-05
13,column,0.200000,0.000000,2.500000,-821.766110,1334.432900,-2.193181e+05,2.455901e-07
14,column,0.200000,0.000000,2.700000,-398.302580,41839.125000,-3.332928e+06,3.732178e-06
15,column,0.200000,0.000000,2.900000,25.160950,82294.805000,4.141231e+05,-4.637307e-07
16,column,0.200000,0.000000,3.100000,448.624480,122696.330000,1.100892e+07,-1.232767e-05
17,column,0.200000,0.000000,3.300000,872.088010,163121.080000,2.845120e+07,-3.185936e-05
