# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-25T01:42:40.124743
# Problem,beam_example_E2100
# Template,beam
# Response Location,"(1.0, 0.0)"
#
# Material Properties
# E [Pa],2.100000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.050000e+06
#
# Geometry
# Elements,20
# Nodes (primary),21
# Nodes (dual),22
# Total Length [m],2.000000
#
# Summary
# Total Sensitivity,-2.845756e-05
# Max Sensitivity,7.137044e-05,Element 12
# Min Sensitivity,-1.364288e-04,Element 20
# Beams,20,Sum: -2.845756e-05
# Columns,0,Sum: 0.000000e+00
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,beam,0.100000,0.050000,0.000000,2850.000000,527764.000000,1.504127e+08,-1.364288e-04
2,beam,0.100000,0.150000,0.000000,1949.999900,527079.000000,1.027804e+08,-9.322485e-05
3,beam,0.100000,0.250000,0.000000,1149.999900,525733.880000,6.045940e+07,-5.483846e-05
4,beam,0.100000,0.350000,0.000000,449.999970,523776.620000,2.356995e+07,-2.137864e-05
5,beam,0.100000,0.450000,0.000000,-149.999980,521275.410000,-7.819129e+06,7.092181e-06
6,beam,0.100000,0.550000,0.000000,-649.999940,518314.310000,-3.369043e+07,3.055822e-05
7,beam,0.100000,0.650000,0.000000,-1049.999900,514988.620000,-5.407378e+07,4.904652e-05
8,beam,0.100000,0.750000,0.000000,-1350.000000,511399.840000,-6.903899e+07,6.262040e-05
9,beam,0.100000,0.850000,0.000000,-1550.000000,507651.060000,-7.868589e+07,7.137042e-05
10,beam,0.100000,0.950000,0.000000,-1650.000000,474103.030000,-7.822702e+07,7.095421e-05
11,beam,0.100000,1.050000,0.000000,-1650.000000,474103.030000,-7.822700e+07,7.095419e-05
12,beam,0.100000,1.150000,0.000000,-1550.000000,507651.060000,-7.868591e+07,7.137044e-05
13,beam,0.100000,1.250000,0.000000,-1350.000000,511399.840000,-6.903898e+07,6.262039e-05
14,beam,0.100000,1.350000,0.000000,-1049.999900,514988.620000,-5.407380e+07,4.904653e-05
15,beam,0.100000,1.450000,0.000000,-649.999940,518314.310000,-3.369043e+07,3.055821e-05
16,beam,0.100000,1.550000,0.000000,-149.999980,521275.410000,-7.819130e+06,7.092182e-06
17,beam,0.100000,1.650000,0.000000,449.999970,523776.620000,2.356995e+07,-2.137864e-05
18,beam,0.100000,1.750000,0.000000,1149.999900,525733.880000,6.045939e+07,-5.483845e-05
19,beam,0.100000,1.850000,0.000000,1949.999900,527079.000000,1.027804e+08,-9.322485e-05
20,beam,0.100000,1.950000,0.000000,2850.000000,527764.000000,1.504127e+08,-1.364288e-04

TOTAL,,,,,,,,-2.845756e-05
