# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-25T02:29:28.958949
# Problem,beam_example_E2121
# Template,beam
# Response Location,"(1.0, 0.0)"
#
# Material Properties
# E [Pa],2.121000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.060500e+06
#
# Geometry
# Elements,20
# Nodes (primary),21
# Nodes (dual),22
# Total Length [m],2.000000
#
# Summary
# Total Sensitivity,-2.817581e-05
# Max Sensitivity,7.066380e-05,Element 12
# Min Sensitivity,-1.350780e-04,Element 20
# Beams,20,Sum: -2.817581e-05
# Columns,0,Sum: 0.000000e+00
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,beam,0.100000,0.050000,0.000000,2850.000000,533041.620000,1.519169e+08,-1.350780e-04
2,beam,0.100000,0.150000,0.000000,1949.999900,532349.810000,1.038082e+08,-9.230184e-05
3,beam,0.100000,0.250000,0.000000,1149.999900,530991.250000,6.106399e+07,-5.429550e-05
4,beam,0.100000,0.350000,0.000000,449.999970,529014.380000,2.380565e+07,-2.116697e-05
5,beam,0.100000,0.450000,0.000000,-149.999980,526488.190000,-7.897321e+06,7.021962e-06
6,beam,0.100000,0.550000,0.000000,-649.999940,523497.440000,-3.402734e+07,3.025566e-05
7,beam,0.100000,0.650000,0.000000,-1049.999900,520138.500000,-5.461452e+07,4.856091e-05
8,beam,0.100000,0.750000,0.000000,-1350.000000,516513.840000,-6.972938e+07,6.200040e-05
9,beam,0.100000,0.850000,0.000000,-1550.000000,512727.560000,-7.947275e+07,7.066378e-05
10,beam,0.100000,0.950000,0.000000,-1650.000000,478844.060000,-7.900929e+07,7.025169e-05
11,beam,0.100000,1.050000,0.000000,-1650.000000,478844.060000,-7.900927e+07,7.025168e-05
12,beam,0.100000,1.150000,0.000000,-1550.000000,512727.560000,-7.947277e+07,7.066380e-05
13,beam,0.100000,1.250000,0.000000,-1350.000000,516513.840000,-6.972937e+07,6.200038e-05
14,beam,0.100000,1.350000,0.000000,-1049.999900,520138.500000,-5.461454e+07,4.856092e-05
15,beam,0.100000,1.450000,0.000000,-649.999940,523497.440000,-3.402733e+07,3.025565e-05
16,beam,0.100000,1.550000,0.000000,-149.999980,526488.190000,-7.897322e+06,7.021962e-06
17,beam,0.100000,1.650000,0.000000,449.999970,529014.380000,2.380565e+07,-2.116697e-05
18,beam,0.100000,1.750000,0.000000,1149.999900,530991.250000,6.106399e+07,-5.429550e-05
19,beam,0.100000,1.850000,0.000000,1949.999900,532349.810000,1.038082e+08,-9.230184e-05
20,beam,0.100000,1.950000,0.000000,2850.000000,533041.620000,1.519169e+08,-1.350780e-04

TOTAL,,,,,,,,-2.817581e-05
