# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-25T00:09:49.018022
# Problem,frame_2_example_E2121
# Template,frame_2story
# Response Location,"(1.0, 4.0)"
#
# Material Properties
# E [Pa],2.121000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.060500e+06
#
# Geometry
# Elements,60
# Nodes (primary),60
# Nodes (dual),61
# Total Length [m],12.000000
#
# Summary
# Total Sensitivity,3.993671e-05
# Max Sensitivity,1.592936e-04,Element 26
# Min Sensitivity,-1.228906e-04,Element 20
# Beams,20,Sum: 6.419545e-04
# Columns,40,Sum: -6.020178e-04
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,column,0.200000,0.000000,0.100000,-404.457180,31271.941000,-2.529632e+06,2.249241e-06
2,column,0.200000,0.000000,0.300000,-262.139770,20148.408000,-1.056340e+06,9.392524e-07
3,column,0.200000,0.000000,0.500000,-119.822330,9024.318400,-2.162630e+05,1.922918e-07
4,column,0.200000,0.000000,0.700000,22.495092,-2100.258500,-9.449101e+03,8.401738e-09
5,column,0.200000,0.000000,0.900000,164.812520,-13224.709000,-4.359195e+05,3.876011e-07
6,column,0.200000,0.000000,1.100000,307.129940,-24348.547000,-1.495634e+06,1.329854e-06
7,column,0.200000,0.000000,1.300000,449.447360,-35472.082000,-3.188567e+06,2.835138e-06
8,column,0.200000,0.000000,1.500000,591.764770,-46597.090000,-5.514903e+06,4.903617e-06
9,column,0.200000,0.000000,1.700000,734.082210,-57727.496000,-8.475346e+06,7.535916e-06
10,column,0.200000,0.000000,1.900000,876.399720,-68870.023000,-1.207153e+07,1.073349e-05
11,column,0.200000,0.000000,2.100000,-1668.696300,-89364.578000,2.982447e+07,-2.651865e-05
12,column,0.200000,0.000000,2.300000,-1245.231900,-43959.758000,1.094802e+07,-9.734517e-06
13,column,0.200000,0.000000,2.500000,-821.767640,1497.530200,-2.461241e+05,2.188431e-07
14,column,0.200000,0.000000,2.700000,-398.303310,46952.797000,-3.740293e+06,3.325709e-06
15,column,0.200000,0.000000,2.900000,25.160995,92353.055000,4.647390e+05,-4.132261e-07
16,column,0.200000,0.000000,3.100000,448.625310,137692.550000,1.235447e+07,-1.098507e-05
17,column,0.200000,0.000000,3.300000,872.089600,183058.090000,3.192863e+07,-2.838958e-05
18,column,0.200000,0.000000,3.500000,1295.554000,228674.810000,5.925205e+07,-5.268440e-05
19,column,0.200000,0.000000,3.700000,1719.018300,274953.940000,9.453022e+07,-8.405224e-05
20,column,0.200000,0.000000,3.900000,2142.482900,322546.690000,1.382102e+08,-1.228906e-04
21,beam,0.200000,0.100000,4.000000,1454.246100,349012.000000,1.015099e+08,-9.025825e-05
22,beam,0.200000,0.300000,4.000000,-145.749650,354120.160000,-1.032258e+07,9.178397e-06
23,beam,0.200000,0.500000,4.000000,-1345.746500,360662.880000,-9.707217e+07,8.631244e-05
24,beam,0.200000,0.700000,4.000000,-2145.743700,368683.500000,-1.582201e+08,1.406825e-04
25,beam,0.200000,0.900000,4.000000,-2545.741900,351864.380000,-1.791512e+08,1.592936e-04
26,beam,0.200000,1.100000,4.000000,-2545.741900,351864.380000,-1.791512e+08,1.592936e-04
27,beam,0.200000,1.300000,4.000000,-2145.743700,368683.500000,-1.582201e+08,1.406825e-04
28,beam,0.200000,1.500000,4.000000,-1345.746500,360662.880000,-9.707216e+07,8.631243e-05
29,beam,0.200000,1.700000,4.000000,-145.749650,354120.160000,-1.032258e+07,9.178397e-06
30,beam,0.200000,1.900000,4.000000,1454.246100,349012.000000,1.015099e+08,-9.025825e-05
31,column,0.200000,2.000000,3.900000,2142.482900,322546.690000,1.382102e+08,-1.228906e-04
32,column,0.200000,2.000000,3.700000,1719.018300,274953.940000,9.453022e+07,-8.405224e-05
33,column,0.200000,2.000000,3.500000,1295.554000,228674.810000,5.925205e+07,-5.268440e-05
34,column,0.200000,2.000000,3.300000,872.089600,183058.090000,3.192863e+07,-2.838958e-05
35,column,0.200000,2.000000,3.100000,448.625310,137692.550000,1.235447e+07,-1.098507e-05
36,column,0.200000,2.000000,2.900000,25.160995,92353.055000,4.647390e+05,-4.132261e-07
37,column,0.200000,2.000000,2.700000,-398.303310,46952.797000,-3.740293e+06,3.325709e-06
38,column,0.200000,2.000000,2.500000,-821.767640,1497.530200,-2.461241e+05,2.188431e-07
39,column,0.200000,2.000000,2.300000,-1245.231900,-43959.758000,1.094802e+07,-9.734517e-06
40,column,0.200000,2.000000,2.100000,-1668.696300,-89364.578000,2.982447e+07,-2.651865e-05
41,column,0.200000,2.000000,1.900000,876.399720,-68870.023000,-1.207153e+07,1.073349e-05
42,column,0.200000,2.000000,1.700000,734.082210,-57727.496000,-8.475346e+06,7.535916e-06
43,column,0.200000,2.000000,1.500000,591.764770,-46597.090000,-5.514903e+06,4.903617e-06
44,column,0.200000,2.000000,1.300000,449.447360,-35472.082000,-3.188567e+06,2.835138e-06
45,column,0.200000,2.000000,1.100000,307.129940,-24348.547000,-1.495634e+06,1.329854e-06
46,column,0.200000,2.000000,0.900000,164.812520,-13224.709000,-4.359195e+05,3.876011e-07
47,column,0.200000,2.000000,0.700000,22.495092,-2100.258500,-9.449101e+03,8.401738e-09
48,column,0.200000,2.000000,0.500000,-119.822330,9024.318400,-2.162630e+05,1.922918e-07
49,column,0.200000,2.000000,0.300000,-262.139770,20148.408000,-1.056340e+06,9.392524e-07
50,column,0.200000,2.000000,0.100000,-404.457180,31271.941000,-2.529632e+06,2.249241e-06
51,beam,0.200000,0.100000,2.000000,1928.047900,37605.602000,1.450108e+07,-1.289374e-05
52,beam,0.200000,0.300000,2.000000,328.044190,37598.703000,2.466807e+06,-2.193380e-06
53,beam,0.200000,0.500000,2.000000,-871.958740,37593.531000,-6.556002e+06,5.829318e-06
54,beam,0.200000,0.700000,2.000000,-1671.960400,37590.082000,-1.256983e+07,1.117655e-05
55,beam,0.200000,0.900000,2.000000,-2071.960900,37588.359000,-1.557632e+07,1.384980e-05
56,beam,0.200000,1.100000,2.000000,-2071.960900,37588.359000,-1.557632e+07,1.384980e-05
57,beam,0.200000,1.300000,2.000000,-1671.960400,37590.082000,-1.256983e+07,1.117655e-05
58,beam,0.200000,1.500000,2.000000,-871.958740,37593.531000,-6.556002e+06,5.829317e-06
59,beam,0.200000,1.700000,2.000000,328.044190,37598.703000,2.466807e+06,-2.193380e-06
60,beam,0.200000,1.900000,2.000000,1928.047900,37605.602000,1.450108e+07,-1.289374e-05

TOTAL,,,,,,,,3.993671e-05
